brand;model;3G_bands;4G_bands;network_speed;GPRS;EDGE;announced;dimentions;weight_g;weight_oz;display_resolution;display_size;OS;CPU;GPU;internal_memory;primary_camera;secondary_camera;USB;battery;colors;approx_price_EUR;img_url
verykool;SL4500 Fusion;HSDPA 850 / 1700 / 1900 / 2100 ;LTE band 2(1900)| 4(1700/2100)| 17(700);HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  March;131.6 x 65.6 x 8.9 mm (5.18 x 2.58 x 0.35 in);130;459;4.5 inches (~64.6% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 4.4.4 (KitKat);Quad-core 1.2 GHz Cortex-A53;Adreno 306;8 GB;8 MP| LED flash;1.3 MP;microUSB 2.0;Li-Ion 1700 mAh battery;Black| Blue| White;160;http://cdn2.gsmarena.com/vv/bigpic/verykool-sl4500.jpg
verykool;i330 Sunray;HSDPA 850 / 1900 ;;Yes  384 kbps;Yes;No;2014  October;107.8 x 52.3 x 17.8 mm (4.24 x 2.06 x 0.70 in);98;346;2.4 inches (~31.6% screen-to-body ratio);240 x 320 pixels (~167 ppi pixel density);;411 MHz;;128 MB;1.3 MP;No;2.0| USB On-The-Go;Li-Ion 800 mAh battery;Blue| Red;70;http://cdn2.gsmarena.com/vv/bigpic/verykool-i330.jpg
verykool;s4510 Luna;HSDPA 850 / 1700 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  September;136 x 67.5 x 10.2 mm (5.35 x 2.66 x 0.40 in);142;501;4.5 inches (~62.8% screen-to-body ratio);480 x 800 pixels (~207 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.2 GHz Cortex-A7;Mali-400;4 GB;5 MP;VGA;microUSB 2.0;Li-Ion 1650 mAh battery;Black| Blue| Yellow;90;http://cdn2.gsmarena.com/vv/bigpic/verykool-s4510.jpg
verykool;s5014 Atlas;HSDPA 850 / 1700 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  February;149 x 76.6 x 8.3 mm (5.87 x 3.02 x 0.33 in);112;395;5.0 inches (~60.4% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| LED flash;2 MP;microUSB 2.0;Li-Ion 1900 mAh battery;Black| Blue| White;130;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5014.jpg
verykool;s6001 Cyprus;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  February;166 x 85 x 8 mm (6.54 x 3.35 x 0.31 in);200;705;6.0 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~245 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;13 MP| LED flash;3 MP;microUSB 2.0;Li-Ion 2300 mAh battery;Black| Blue| White;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s6001.jpg
verykool;s5015 Spark II;HSDPA 850 / 1700 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  January;143.5 x 71.5 x 8 mm (5.65 x 2.81 x 0.31 in);135;476;5.0 inches (~67.2% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| dual-LED flash;5 MP| LED flash;microUSB 2.0;Li-Ion 2100 mAh battery;Black| Blue;180;http://cdn2.gsmarena.com/vv/bigpic/verykool-5015.jpg
verykool;s4010 Gazelle;HSDPA 850 / 1700 / 1900 / 2100 ;;HSPA;Yes;Yes;2015  January;127.5 x 64.9 x 11 mm (5.02 x 2.56 x 0.43 in);128;452;4.0 inches (~55.0% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.0 GHz Cortex-A7;Mali-400;4 GB;8 MP| LED flash;1.3 MP;microUSB 2.0;Li-Ion 1400 mAh battery;White| Blue| Grey;80;http://cdn2.gsmarena.com/vv/bigpic/verykool-s4010.jpg
verykool;s4002 Leo;;;;Yes;Yes;2015  January;122 x 63 x 10.7 mm (4.80 x 2.48 x 0.42 in);112;395;4.0 inches (~59.3% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.3 GHz Cortex-A7;Mali-400;512 MB;5 MP| LED flash;1.3 MP;microUSB 2.0;Li-Ion 1450 mAh battery;Black| White| Yellow| Blue;50;http://cdn2.gsmarena.com/vv/bigpic/verykool-s4002.jpg
verykool;s3501 Lynx;;;;Yes;Yes;2014  November;113.4 x 60.2 x 12.5 mm (4.46 x 2.37 x 0.49 in);885;314;3.5 inches (~53.4% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.3 GHz Cortex-A7;Mali-400;512 MB;2 MP| LED flash;VGA;microUSB 2.0;Li-Ion 1000 mAh battery;Yellow| Blue;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s3501-Lynx.jpg
verykool;R27;HSDPA 850 / 1900 ;;HSPA;Yes;Yes;2014  September;111.4 x 51.5 x 15.6 mm (4.39 x 2.03 x 0.61 in);110;388;2.2 inches (~26.6% screen-to-body ratio);176 x 220 pixels (~128 ppi pixel density);;;;128 MB ROM;2 MP| LED flash;No;2.0;Li-Ion 900 mAh battery;Black;60;http://cdn2.gsmarena.com/vv/bigpic/verykool-r27.jpg
